ident,name,latitude_deg,longitude_deg,elevation_ft
AA00,Shump Airport,62.51015,-149.926717,1670
AA01,West Beaver Seaplane Base,61.584961,-149.846531,215
AA02,Horseshoe Lake Seaplane Base,61.571481,-149.924111,140
AA03,Central Pad Heliport,70.171228,-146.258517,10
AA04,Viking Heliport,61.224775,-149.839094,72
AA05,Shelby Strip,61.507867,-149.078925,40
AA06,Sixmile Lake Airport,61.28867,-149.808884,85
AA07,Saddleback Island Heliport,61.521791,-149.926633,150
AA08,Alaska Heliworx Heliport,61.594722,-149.153889,250
AA09,Busch Creek Airport,62.477547,-147.775972,3984
AA10,Eagles Roost Airport,61.532891,-149.698768,330
AA11,Misty Lake Seaplane Base,61.550739,-149.676131,350
AA12,Dove Island Lodge Seaplane Base,57.0408333,-135.2955556,0
AA13,Northwest Hospital/Sahuarita Heliport,31.95624,-110.985491,2831
AA14,Toolik Heliport,68.628168,-149.589,2405
AA16,Treasure Chest Airport,60.627657,-151.294679,125
AA22,Delta Daves Airport,64.130758,-145.805054,1070
AA27,Otp Heliport,70.414028,-150.018563,38
AA30,Trio Estates Airport,61.648189,-149.870831,315
AA33,Gus Landing,61.60415,-149.770119,120
AA35,35 Mile Lodge Heliport,59.4375556,-136.2293611,690
AA38,Nikaitchuq Operations Center Heliport,70.4824806,-149.8532333,20
AA44,Barlett Regional Hospital Heliport,58.328608,-134.46565,296
AA50,Point Thomson Sea Ice Airstrip,70.181144,-146.35035,0
AA51,Spy Island Drill-Site Heliport,70.55625,-149.9105278,21
AA76,Timber Trails Airport,64.78001,-147.32769,480
AA85,Walby Lake Seaplane Base,61.616419,-149.221031,114
AAXX,Aeródromo de Punto Rothera,-67.566941,-68.126993,0
AF04,Helmand Airport,30.303216,61.868904,0
AF06,Khwaja Ghar North Airport,37.071098,69.495003,1645
AF07,Khwaja Ghar South Airport,37.061623,69.487765,1645
AF08,Kutub Khel Airport,34.192902,69.135696,6273
AF09,Nayak Airport,34.687099,66.893204,8650
AF13,Shebartu Landing Zone Airport,34.778601,67.489557,10490
